pair,basis_A,basis_B,basis_A_short,basis_B_short,n_items,conflict_prevalence,consensus_prevalence,indifference_prevalence,a_dominant_rate,b_dominant_rate,both_rate,underdetermined_rate,attribution_asymmetry,overall_basis_direction
S3_extremism_hate_harmful_ideology_prevention__E3_respect_dignity_non_cruelty,S3_extremism_hate_harmful_ideology_prevention,E3_respect_dignity_non_cruelty,S3,E3,5,0.4,0.0,0.6,0.4,0.0,0.0,0.6,1.0,Underdetermined
S3_extremism_hate_harmful_ideology_prevention__H5_interpersonal_helpful_style,S3_extremism_hate_harmful_ideology_prevention,H5_interpersonal_helpful_style,S3,H5,5,0.4,0.0,0.6,0.4,0.0,0.0,0.6,1.0,Underdetermined
E1_honesty_truthfulness__H1_direct_task_completion,E1_honesty_truthfulness,H1_direct_task_completion,E1,H1,5,0.2,0.0,0.8,0.2,0.2,0.0,0.6,0.0,Underdetermined
E1_honesty_truthfulness__H5_interpersonal_helpful_style,E1_honesty_truthfulness,H5_interpersonal_helpful_style,E1,H5,5,0.2,0.0,0.8,0.2,0.0,0.0,0.8,1.0,Underdetermined
E4_privacy_boundaries_autonomy__H1_direct_task_completion,E4_privacy_boundaries_autonomy,H1_direct_task_completion,E4,H1,5,0.2,0.0,0.8,0.0,0.2,0.0,0.8,-1.0,Underdetermined
S1_direct_harm_prevention__E1_honesty_truthfulness,S1_direct_harm_prevention,E1_honesty_truthfulness,S1,E1,5,0.2,0.0,0.8,0.0,0.2,0.0,0.8,-1.0,Underdetermined
S1_direct_harm_prevention__E4_privacy_boundaries_autonomy,S1_direct_harm_prevention,E4_privacy_boundaries_autonomy,S1,E4,5,0.2,0.0,0.8,0.4,0.2,0.0,0.4,0.3333333333333333,A-dominant
S1_direct_harm_prevention__H1_direct_task_completion,S1_direct_harm_prevention,H1_direct_task_completion,S1,H1,5,0.2,0.0,0.8,0.2,0.0,0.0,0.8,1.0,Underdetermined
S2_illegal_criminal_misuse_prevention__G3_educational_bounded_assistance,S2_illegal_criminal_misuse_prevention,G3_educational_bounded_assistance,S2,G3,5,0.2,0.0,0.8,0.2,0.0,0.0,0.8,1.0,Underdetermined
S2_illegal_criminal_misuse_prevention__H3_informative_accurate_assistance,S2_illegal_criminal_misuse_prevention,H3_informative_accurate_assistance,S2,H3,5,0.2,0.0,0.8,0.2,0.0,0.0,0.8,1.0,Underdetermined
S3_extremism_hate_harmful_ideology_prevention__G4_law_policy_aligned_response_behavior,S3_extremism_hate_harmful_ideology_prevention,G4_law_policy_aligned_response_behavior,S3,G4,5,0.2,0.0,0.8,0.0,0.2,0.0,0.8,-1.0,Underdetermined
E1_honesty_truthfulness__H3_informative_accurate_assistance,E1_honesty_truthfulness,H3_informative_accurate_assistance,E1,H3,5,0.0,0.0,1.0,0.0,0.2,0.0,0.8,-1.0,Underdetermined
E4_privacy_boundaries_autonomy__G4_law_policy_aligned_response_behavior,E4_privacy_boundaries_autonomy,G4_law_policy_aligned_response_behavior,E4,G4,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
G2_rule_robustness_anti_jailbreak_compliance__H1_direct_task_completion,G2_rule_robustness_anti_jailbreak_compliance,H1_direct_task_completion,G2,H1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
G3_educational_bounded_assistance__H1_direct_task_completion,G3_educational_bounded_assistance,H1_direct_task_completion,G3,H1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
G3_educational_bounded_assistance__H4_educational_support,G3_educational_bounded_assistance,H4_educational_support,G3,H4,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
G5_ai_transparency_epistemic_calibration__H3_informative_accurate_assistance,G5_ai_transparency_epistemic_calibration,H3_informative_accurate_assistance,G5,H3,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S1_direct_harm_prevention__H3_informative_accurate_assistance,S1_direct_harm_prevention,H3_informative_accurate_assistance,S1,H3,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S2_illegal_criminal_misuse_prevention__E1_honesty_truthfulness,S2_illegal_criminal_misuse_prevention,E1_honesty_truthfulness,S2,E1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S2_illegal_criminal_misuse_prevention__E4_privacy_boundaries_autonomy,S2_illegal_criminal_misuse_prevention,E4_privacy_boundaries_autonomy,S2,E4,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S2_illegal_criminal_misuse_prevention__G2_rule_robustness_anti_jailbreak_compliance,S2_illegal_criminal_misuse_prevention,G2_rule_robustness_anti_jailbreak_compliance,S2,G2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S2_illegal_criminal_misuse_prevention__G4_law_policy_aligned_response_behavior,S2_illegal_criminal_misuse_prevention,G4_law_policy_aligned_response_behavior,S2,G4,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S2_illegal_criminal_misuse_prevention__H1_direct_task_completion,S2_illegal_criminal_misuse_prevention,H1_direct_task_completion,S2,H1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S3_extremism_hate_harmful_ideology_prevention__E2_fairness_impartiality_anti_discrimination,S3_extremism_hate_harmful_ideology_prevention,E2_fairness_impartiality_anti_discrimination,S3,E2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S3_extremism_hate_harmful_ideology_prevention__G2_rule_robustness_anti_jailbreak_compliance,S3_extremism_hate_harmful_ideology_prevention,G2_rule_robustness_anti_jailbreak_compliance,S3,G2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S3_extremism_hate_harmful_ideology_prevention__H1_direct_task_completion,S3_extremism_hate_harmful_ideology_prevention,H1_direct_task_completion,S3,H1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S4_manipulation_loss_of_control_rule_evasion_resistance__E1_honesty_truthfulness,S4_manipulation_loss_of_control_rule_evasion_resistance,E1_honesty_truthfulness,S4,E1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S4_manipulation_loss_of_control_rule_evasion_resistance__E4_privacy_boundaries_autonomy,S4_manipulation_loss_of_control_rule_evasion_resistance,E4_privacy_boundaries_autonomy,S4,E4,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S4_manipulation_loss_of_control_rule_evasion_resistance__G1_clarify_when_underspecified_uncertain,S4_manipulation_loss_of_control_rule_evasion_resistance,G1_clarify_when_underspecified_uncertain,S4,G1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S4_manipulation_loss_of_control_rule_evasion_resistance__G2_rule_robustness_anti_jailbreak_compliance,S4_manipulation_loss_of_control_rule_evasion_resistance,G2_rule_robustness_anti_jailbreak_compliance,S4,G2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S4_manipulation_loss_of_control_rule_evasion_resistance__H1_direct_task_completion,S4_manipulation_loss_of_control_rule_evasion_resistance,H1_direct_task_completion,S4,H1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
S4_manipulation_loss_of_control_rule_evasion_resistance__H6_creative_adaptive_usefulness,S4_manipulation_loss_of_control_rule_evasion_resistance,H6_creative_adaptive_usefulness,S4,H6,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Underdetermined
